applicant_id,first_name,last_name,email,phone_number,university,major,gpa,graduation_year,application_date,position_applied,years_of_experience,skills,application_status,salary_expectation,availability,resume_submitted,cover_letter,references_provided
APP0058,Elizabeth,Davis,elizabeth515@email.com,230-997-5602,State University,Communications,3.5,2026.0,09-04-2024,Research Assistant,3.0,"Communication, R, Data Analysis, Python, Project Management, Excel",Rejected,22169,Immediate,No,Yes,2.0
APP-0059A,David,Garcia,david.garcia at email.com,+15829217481,Private College,Psychology,3.76,2022.0,23-05-2024,UX Design Intern,2.0,"SQL, Communication, Python, Tableau, Data Analysis",ACCEPTED,25469,1 month,0,False,5.0
APP-0060B,Daniel,Smith,daniel.smith@email.com,370-623-9078,INTERNATIONAL UNIVERSITY,Business Administration,3.85,2024.0,"Feb 13, 2024",Software Developer Intern,3.0,"Data Analysis, Communication, PowerPoint, Python, Tableau, R",review,23692,Flexible,False,Yes,0.0
APP_0061,David,Smith,SMITH.DAVID@EMAIL.COM,(374) 853-5781,Private College,Marketing,3.37,2025.0,03/08/2024,business analyst intern,0.0,"Java, Project Management",review,30559,3 months,Yes,Yes,3.0
APP-0062,David,Johnson,djohnson@email.com,944.268.2425,Public University ,Communications,3.2,2026.0,2024-04-17,Research Assistant,0.0,"Java, Data Analysis",ACCEPTED,28204,1 month,1,False,5.0
APP_0063,Robert ,Anderson,ROBERT 487@EMAIL.COM,+14333375923,Public University,Economics,3.15,2022.0,2024-04-05,Data Science Intern,2.0,"Machine Learning, Data Analysis, Python",In Process,31551, ASAP,0,Yes,1.0
APP_0064,Daniel,Williams,dwilliams@email.com,228-595-1813,Liberal Arts College,Computer Science,1.60,2025.0,04-06-2024,UX Design Intern,2.0,Various technical skills,In Process,37426,2 weeks,True,YES,2.0
APP-0065B,Matthew,Jones,mjones@email.com,502.465.7857,Community College,Mathematics,3.89,2024.0,01-05-2024,Software Developer Intern,0.0,"Excel, Java, PowerPoint",In Process,25062, ASAP,Yes,YES,4.0
APP_0066,SARAH,Davis,sarah.davis@email.com,405.550.7704,Tech Institute,Engineering,2.24,2026.0,2024-01-15,research assistant,0.0,"PowerPoint, Java, SQL", rejected ,Negotiable,immediate,False,Yes,5.0
APP0067A,Jessica,Lopez,jessica516@email.com,945-732-9587,State University,Engineering,3.44,2024.0,01/06/2024,Research Assistant,0.0,Machine Learning; Data Analysis; Python; Project Management; Java,Pending,35654,Immediate,No,False,0.0
APP-0068B,David,Miller,david121@email.com,502.364.1645,COMMUNITY COLLEGE,Business Administration,3.48,2022.0,"Jun 20, 2024",Data Science Intern,0.0,"Excel, Project Management",Submitted,28959,2 weeks,True,Yes,1.0
APP-0068B,David,Miller,david1218@email.com,502.364.1645,COMMUNITY COLLEGE,Business Administration,3.48,2022.0,"Jun 20, 2024",Data Science Intern,0.0,"Excel, Project Management",Submitted,28959,2 weeks,True,Yes,1.0
APP-0070,Michelle,Hernandez,hernandez.michelle@email.com,+16807073709,Community College,Data Science,4.0,2024.0,"Apr 23, 2024",Business Analyst Intern,0.0,Java,Pending,29949,immediate,True,,1.0
APP_0071B,Laura,Lopez,llopez at email.com,(848) 498-9973,Private College,Data Science,3.37,2026.0,"Jan 28, 2024",Business Analyst Intern,5.0,"PowerPoint, Project Management, Data Analysis, Machine Learning, SQL, JavaScript, Python, Excel",Rejected,18393, ASAP,1,YES,4.0
APP_0072,Jessica,Jones,jjones@email.com,+19289544560,Liberal Arts College,Psychology,2.53,2022.0,"Mar 31, 2024",Software Developer Intern,0.0,Tableau; Python; Machine Learning; Java; Project Management,Pending,21684,Unknown,Yes,,3.0
APP0073A,Robert,Brown,robert.brown@email.com,213-961-5117,Liberal Arts College,Engineering,3.29,2026.0,"Jan 31, 2024",Business Analyst Intern,0.0,"Python, R, PowerPoint, SQL, Communication",Pending,38189,immediate,False,No,4.0
APP0074A,Michelle,Rodriguez,michelle219@email.com,(970) 833-9691,Tech Institute,Marketing,3.32,2022.0,12-05-2024,Data Science Intern,0.0,Various technical skills,Accepted,32621, ASAP,0,False,1.0
APP0075,JAMES,smith,james.smith@email.com,(464) 617-7357,State University,Mathematics,4.0,2022.0,24-06-2024,Business Analyst Intern,0.0,PowerPoint,Rejected,38898,immediate,1,,4.0
APP0076,Jane,Smith,jane88@email.com,622-861-9397,State University,Mathematics,3.22,2022.0,2024-05-20,Marketing Intern,0.0,"R, Communication, SQL, JavaScript, Java, Data Analysis, Excel, Python",Rejected,29034,1 month,Yes,No,1.0
APP0076,Jane,Smith,jane889@email.com,622-861-9397,State University,Mathematics,3.22,2022.0,2024-05-20,Marketing Intern,0.0,"R, Communication, SQL, JavaScript, Java, Data Analysis, Excel, Python",Rejected,29034,1 month,Yes,No,1.0
APP_0078A,Michael,jones,michael930@email.com,792.757.3848,Tech Institute,Data Science,3.76,2025.0,31-03-2024,Marketing Intern,0.0,"POWERPOINT, SQL, JAVASCRIPT",Under Review,18713,2-4 weeks ,No,No,4.0
APP0079,JOHN,Brown,john.brown@email.com,287.421.8359,Liberal Arts College,Engineering,3.6,2026.0,10-05-2024,Business Analyst Intern,1.0,"JavaScript, Tableau",Rejected,34654,Immediate,1,,0.0
APP0080,David,Anderson,anderson.david@email.com,803.959.2600,Tech Institute,Biology,3.86,2026.0,2024-01-02,Business Analyst Intern,,"Communication, R, Tableau, Project Management",In Process,21674, ASAP,1,no,1.0
APP_0081,Matthew,Jones,matthew.jones@email.com,(916) 365-2642,TECH INSTITUTE,Business Administration,2.74,2023.0,"Apr 08, 2024",software developer intern,1.0,"PROJECT MANAGEMENT, POWERPOINT, COMMUNICATION", rejected ,16181,immediate,0,Yes,1.0
APP_0081,Matthew,Jones,matthew.jones@email.com,(916) 365-2642,TECH INSTITUTE,Business Administration,2.74,2023.0,"Apr 08, 2024",software developer intern,1.0,"PROJECT MANAGEMENT, POWERPOINT, COMMUNICATION", rejected ,16181,immediate,0,Yes,1.0
APP-0083B,Michael,Rodriguez,michael916@email.com,440-953-4965,Public University,Mathematics,3.33,2022.0,03-05-2024,Research Assistant,0.0,"PowerPoint, SQL, Machine Learning, Excel, Tableau",Submitted,20727,2-4 weeks ,0,True,3.0
APP_0084,John,Hernandez,john628@email.com,+16344157866,Liberal Arts College,Business Administration,3.98,2025.0,"Mar 01, 2024",business analyst intern,0.0,"Python, SQL, Tableau, PowerPoint, Project Management, Data Analysis, R, Excel",Under Review,30615,2 weeks,0,YES,2.0
APP_0085B,MATTHEW,Garcia,mgarcia@email.com,280.590.5694,Online University,Biology,3.65,2023.0,2024-01-19,Research Assistant,1.0,"Data Analysis, Project Management, Tableau, Excel, PowerPoint",Rejected,23245,2 weeks,False,no,0.0
APP_0085B,MATTHEW,Garcia,mgarcia@email.com,280.590.5694,Online University,Biology,3.65,2023.0,2024-01-19,Research Assistant,1.0,"Data Analysis, Project Management, Tableau, Excel, PowerPoint",Rejected,23245,2 weeks,False,no,0.0
APP_0087B,John,Gonzalez,john8@email.com,+15874255308,Private College,Engineering,2.88,2024.0,"Jun 12, 2024",Marketing Intern,1.0,SQL,ACCEPTED,31173,3 months,No,YES,3.0
APP_0088,JANE,Garcia,garcia.jane@email.com,212-324-5078,Community College,Marketing,3.49,2026.0,2024-02-10,Business Analyst Intern,0.0,"JavaScript, R, Python, Communication, Java, ",Accepted,,Immediate,0,no,5.0
APP-0089A,ELIZABETH,Gonzalez,elizabeth634@email.com,+19187492759,Public University ,Biology,2.99,2025.0,04-02-2024,Data Science Intern,3.0,"JavaScript, Data Analysis, SQL, Machine Learning, R, Project Management, PowerPoint, Communication",ACCEPTED,15023,Unknown,0,No,0.0
APP-0090B,Jessica,Garcia,jgarcia@email.com,530-619-6276,Community College,Biology,0.59,2022.0,14-05-2024,Research Assistant,49.0,"Project Management, PowerPoint, Java, Communication",Submitted,17306,Flexible,False,True,0.0
APP0091A,Robert,Brown,rbrown@email.com,+13063703955,Online University,Psychology,3.17,2026.0,"Apr 15, 2024",marketing intern,3.0,"Machine Learning, Excel, R, PowerPoint, Communication, JavaScript, Python",Accepted,37600,Flexible,1,True,4.0
APP-0092A,Sarah,Smith,ssmith@email.com,+19405328905,Private College,Psychology,,2025.0,"Apr 21, 2024",Business Analyst Intern,0.0,Project Management,In Process,38972, ASAP,1,True,4.0
APP0093A,Michelle,Jones,michelle.jones@email.com,772.402.8993,Community College,Biology,3.72,2022.0,2024-05-27,Data Science Intern,1.0,"Data Analysis, Project Management, Python, Excel, SQL, PowerPoint",Accepted,17811,2 weeks,False,True,1.0
APP_0094,James,Lopez,jlopez@email.com,(759) 735-5237,INTERNATIONAL UNIVERSITY,Computer Science,3.51,2024.0,18-06-2024,Software Developer Intern,1.0,"Project Management, Tableau, JavaScript, Communication, Java",ACCEPTED,32347,Flexible,No,no,5.0
APP0095,Elizabeth,Hernandez,elizabeth514@email.com,430-355-6599,International University,Mathematics,3.17,2024.0,06/16/2024,Data Science Intern,3.0,"Tableau, SQL, Data Analysis",Rejected,28567, ASAP,No,False,5.0
APP-0096B,David ,Gonzalez,david 627@email.com,+12819048808,Liberal Arts College ,Computer Science,3.22,2025.0,04/15/2024,UX Design Intern,3.0,"Data Analysis, PowerPoint, R, Project Management, JavaScript, Machine Learning, Tableau, Python", rejected ,32060,2 weeks,No,,0.0
APP0097,Jane,Rodriguez,jane195@email.com,(992) 492-8558,Liberal Arts College,Computer Science,2.72,2024.0,05/31/2024,Research Assistant,0.0,"Communication, Java, Project Management", rejected ,16438,1 month,1,,5.0
APP0098A,David,williams,williams.david@email.com,710.756.1094,Private College,Computer Science,3.78,2023.0,20-05-2024,Business Analyst Intern,24.0,"Project Management, ",Under Review,, ASAP,False,False,2.0
APP-0099A,Daniel,Lopez,daniel307@email.com,911.481.6393,Tech Institute,Mathematics,3.51,2025.0,03-05-2024,software developer intern,3.0,"SQL, Data Analysis, Project Management, PowerPoint, Machine Learning, JavaScript",Submitted,21793, ASAP,True,YES,2.0
APP-0100A,John,Hernandez,john316@email.com,546.888.8849,Public University,Psychology,3.42,2026.0,2024-04-15,Data Science Intern,2.0,JavaScript,Pending,32507,1 month,1,no,1.0
APP-0101,Amanda,Lopez,lopez.amanda@email.com,(509) 421-9603,Online University,Mathematics,3.03,2022.0,03/24/2024,Data Science Intern,0.0,"JavaScript, Python, PowerPoint",Under Review,36593,Flexible,1,,2.0
APP-0102A,James,Brown,james.brown@email.com,304-411-9888,PUBLIC UNIVERSITY ,Computer Science,3.39,2023.0,2024-01-14,Data Science Intern,3.0,"DATA ANALYSIS, R, EXCEL, PROJECT MANAGEMENT, JAVASCRIPT, MACHINE LEARNING, TABLEAU, COMMUNICATION",ACCEPTED,30250,2-4 weeks ,False,No,4.0
APP_0103B,Robert,Williams,ROBERT904@EMAIL.COM,(686) 315-6758,Tech Institute,Biology,3.42,2022.0,03/02/2024,Data Science Intern,0.0,"Tableau, Data Analysis, R, Machine Learning, JavaScript, Java, Project Management",ACCEPTED,25093, ASAP,1,Yes,5.0
APP-0104,James,davis,james.davis@email.com,506.783.5989,State University,Engineering,3.01,2023.0,16-01-2024,Research Assistant,,"Java, Excel, Python, JavaScript, Tableau, R",Rejected,26805, ASAP,Yes,,5.0
APP0105A,John,Johnson,johnson.john@email.com,721.634.8373,Public University,Mathematics,3.37,2024.0,19-05-2023,UX Design Intern,1.0,"Communication, Java, SQL, Machine Learning, Excel, JavaScript, PowerPoint, Python",Under Review,35088,Immediate,1,,0.0
APP_0106,Laura,Martinez,LAURA818@EMAIL.COM,+12628448752,Tech Institute,Marketing,2.81,2025.0,06-06-2024,Business Analyst Intern,1.0,"Project Management, PowerPoint, R",In Process,20051,2-4 weeks ,No,No,5.0
APP_0107A,Christopher,Martinez,christopher.martinez at email.com,685.468.3378,Public University,Mathematics,,2022.0,2024-01-11,UX Design Intern,0.0,"R, Excel, Project Management, Java, Data Analysis",Accepted,25265,Unknown,0,Yes,0.0
APP0108,Sarah,Rodriguez,SARAH291@EMAIL.COM,813-853-2995,Public University,Economics,2.91,2022.0,"Mar 11, 2024",Marketing Intern,0.0,"Excel, Python",Under Review,20847,2-4 weeks ,False,True,3.0
APP0109,Daniel,lopez,DANIEL746@EMAIL.COM,600.788.1060,Tech Institute ,Economics,3.61,2022.0,17-05-2024,Marketing Intern,,"R, Machine Learning",Rejected,24793, ASAP,0,False,2.0
APP0109,Daniel,,,,,,3.61,,17-05-2024,,,,,24793,,,,
APP-0111,James,Johnson,jjohnson@email.com,480-344-7801,Private College ,Economics,0.55,2023.0,01/02/2024,UX Design Intern,1.0,"Communication, SQL, JavaScript, Project Management, Excel, PowerPoint, Data Analysis, R",Under Review,15149,Unknown,False,Yes,4.0
APP0112B,Jessica,Davis,jessica.davis@email.com,+12558606966,State University,Mathematics,3.81,2023.0,"Jan 08, 2024",Software Developer Intern,1.0,"Tableau, JavaScript, R, Project Management, Java, SQL",ACCEPTED,, ASAP,False,True,3.0
APP0113,Elizabeth,Williams,EWILLIAMS@EMAIL.COM,+16696283804,Liberal Arts College,Data Science,3.2,2025.0,"May 13, 2024",Software Developer Intern,0.0,Communication,Rejected,16449,Immediate,0,,4.0
APP0114,Robert,Davis,rdavis@email.com,423-335-6872,State University,Engineering,3.0,2026.0,04/13/2024,Business Analyst Intern,0.0,"Tableau, R",Accepted,39109,Immediate,0,YES,0.0
APP0115,Elizabeth,Davis,elizabeth.davis@email.com,+19559704437,INTERNATIONAL UNIVERSITY,Economics,3.27,2024.0,2024-05-14,Marketing Intern,3.0,"Data Analysis, R, Java, JavaScript, PowerPoint, Python, Tableau, Machine Learning",Rejected,35554,Immediate,No,False,4.0
APP0116,Elizabeth,Miller,elizabeth.miller@email.com,697.807.9686,International University,Economics,3.44,2026.0,2024-03-14,Software Developer Intern,1.0,"Communication, Machine Learning, Excel",Under Review,,immediate,False,no,2.0
,Christopher,,christopher152@email.com,,Liberal Arts College,,,,"Jan 29, 2024",Marketing Intern,,,,,,,,2.0
APP-0118,Elizabeth,Miller,elizabeth.miller@email.com,495.367.7944,Community College,Mathematics,3.88,2022.0,"Jan 17, 2024",Marketing Intern,1.0,Communication; Data Analysis; SQL; JavaScript; Project Management; Tableau; Machine Learning; PowerPoint,ACCEPTED,24835,2-4 weeks ,0,False,2.0
APP_0119A,Laura,Anderson,anderson.laura@email.com,(963) 570-8872,Online University,Psychology,3.55,2022.0,10-03-2024,Business Analyst Intern,0.0,"Machine Learning, JavaScript",In Process,37460,immediate,1,True,2.0
